words,amount_keywords,up_time,keyword,rating,contentWarning,romanticCategory,kudos
14643,54,4,5.976822661629022,1.9967620011132508,1.956887864209901,0.0,587
45946,78,18,7.427197487242965,1.4142135623730951,2.5968491788439394,0.0,98
2389,97,45,6.27444982720995,1.3828992025720797,1.956887864209901,0.0,292
2738,71,9,5.600461906587681,1.0,2.0,0.0,59
4724,35,16,4.911785575400213,1.9967620011132508,1.956887864209901,0.0,319
5784,94,4,4.758064053300951,1.0,1.956887864209901,0.0,68
4177,36,4,5.4371167003931316,1.0,2.5968491788439394,0.0,1014
9300,61,201,6.056323594213948,1.0,1.956887864209901,0.0,1195
9126,28,35,4.6063180766240475,1.0,2.5968491788439394,0.0,637
110937,106,3,8.03564563688893,1.0,1.956887864209901,0.0,124
3174,32,1,4.523227799872826,1.0,2.5968491788439394,0.0,27
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
15962,11,40,2.6920743080136305,1.0,1.956887864209901,0.0,1588
4447,53,2,5.575781586583702,1.0,2.0,1.0,17
2566,153,16,6.591183174610865,1.9967620011132508,1.956887864209901,0.0,20
3641,43,24,5.142504709150176,1.9967620011132508,2.5968491788439394,0.0,30
21662,45,15,4.6946311808269385,1.4142135623730951,2.5968491788439394,0.0,257
7362,30,4,4.6470384521480135,1.0,1.956887864209901,0.0,213
58402,42,70,4.981241854447299,1.0,1.956887864209901,0.0,818
3181,30,12,4.666092181811861,1.3828992025720797,1.956887864209901,0.0,101
7326,25,94,4.542413565504862,1.0,2.5968491788439394,0.0,965
1741,29,91,5.196456045443782,1.0,1.956887864209901,0.0,525
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
1221,10,51,2.8853840484795357,1.9967620011132508,2.5968491788439394,0.0,19
2423,117,65,7.179463720342561,1.0,2.5968491788439394,0.0,106
655,30,63,4.863922839878495,1.9967620011132508,1.956887864209901,0.0,768
5472,37,7,5.5490774465712684,1.0,2.5968491788439394,0.0,7
9117,127,9,7.842564253150018,1.0,1.956887864209901,0.0,94
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
1809,30,21,4.182676741696536,1.0,1.956887864209901,0.0,1620
5941,84,1,7.01528534489411,1.0,2.0,0.0,160
7022,47,18,6.115186962931392,1.0,2.0,0.0,1806
41750,116,8,9.173594635835308,1.9967620011132508,1.956887864209901,0.0,11
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
14320,37,20,5.012674684300281,1.9967620011132508,2.5968491788439394,0.0,21
4314,10,39,2.486278223767404,1.9967620011132508,1.956887864209901,0.0,71
151583,33,14,4.7604985216910745,1.0,1.956887864209901,0.0,46
225,186,2,9.480486408253624,1.0,2.0,0.0,2
20152,92,71,8.235048486702546,1.9967620011132508,2.5968491788439394,0.0,36
6642,42,43,5.0172301714340755,1.0,1.956887864209901,0.0,1277
8599,163,7,9.378579113249808,1.9967620011132508,2.0,0.0,18
15251,18,47,3.6300010829203457,1.4142135623730951,1.956887864209901,0.0,177
9011,72,20,6.900663248009688,1.0,2.0,0.0,0
8270,72,36,6.897753907436086,1.0,1.956887864209901,0.0,1722
5090,37,2,4.197740455579817,1.0,2.5968491788439394,0.0,123
2869,32,1,5.25353640035955,1.0,2.0,0.0,155
26721,54,2,6.413904706731193,1.9967620011132508,2.0,0.0,207
4731,42,43,5.3210329664859,1.0,1.956887864209901,0.0,1621
2560,22,21,4.222758970258219,1.0,1.956887864209901,0.0,312
8186,23,2,4.192096762852442,1.0,2.5968491788439394,0.0,463
2923,82,13,7.105006677359524,1.0,2.0,1.0,7
27123,12,14,3.144173464585176,1.0,2.0,0.0,6
41605,142,3,9.013222445787138,1.0,1.956887864209901,0.0,103
2265,26,20,4.09267354240236,1.0,1.956887864209901,0.0,1701
3145,92,2,6.231265368518562,1.4142135623730951,1.956887864209901,0.0,277
1760,22,23,4.108223673323936,1.9967620011132508,1.956887864209901,0.0,1359
6634,42,32,5.771673050337807,1.9967620011132508,1.956887864209901,0.0,40
30766,14,12,3.537874521913886,1.0,1.956887864209901,0.0,423
9411,40,3,5.117517361480345,1.0,1.956887864209901,0.0,1893
5450,74,14,7.029308423861597,1.9967620011132508,1.956887864209901,0.0,189
31718,34,41,4.693873304098368,1.9967620011132508,1.956887864209901,0.0,130
1560,15,15,3.0316245101503667,1.9967620011132508,2.5968491788439394,0.0,18
22952,113,2,7.793477241557452,1.9967620011132508,1.7320508075688772,0.0,34
110605,99,4,7.2273589996783265,1.0,1.956887864209901,0.0,1
9431,66,2,6.892753013867601,1.0,1.956887864209901,0.0,293
9759,75,40,6.607574734417418,1.0,1.956887864209901,0.0,10446
542422,28,54,4.06976125057657,1.9967620011132508,2.0,0.0,716
79679,59,43,6.203253509792389,1.0,2.5968491788439394,0.0,1262
9496,95,1,7.933513243187434,1.9967620011132508,1.956887864209901,0.0,100
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
1235,36,6,3.8541835272903313,1.0,2.5968491788439394,0.0,4
7461,72,45,6.017525158995545,1.0,1.956887864209901,0.0,294
97190,195,26,11.162849713374175,1.0,2.0,0.0,108
12462,46,43,5.889829715903582,1.0,1.956887864209901,0.0,656
1776,18,44,3.7192571778014556,1.0,1.956887864209901,0.0,336
28033,12,49,3.191553839682524,1.9967620011132508,1.956887864209901,0.0,480
9924,69,51,7.433886026450459,1.0,1.956887864209901,0.0,68
15887,39,64,5.413059886653009,1.0,2.5968491788439394,0.0,82
331,63,15,6.129530474063216,1.0,2.0,0.0,48
53817,24,3,4.102201779363398,1.0,2.5968491788439394,0.0,95
1234,36,6,3.8541835272903313,1.0,2.5968491788439394,0.0,2
332,47,28,5.893635032325651,1.0,1.7320508075688772,0.0,11
4321,39,4,5.453694613562293,1.4142135623730951,1.956887864209901,0.0,143
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
19412,25,15,4.041208452269418,1.4142135623730951,1.956887864209901,0.0,199
4718,38,44,4.1019828058210495,1.0,1.956887864209901,0.0,1573
26261,23,64,4.629766235986295,1.9967620011132508,2.0,0.0,20
3307,19,13,4.055175368946498,1.3828992025720797,1.956887864209901,0.0,138
60838,140,4,8.637734425413058,1.0,1.956887864209901,0.0,179
1752,43,52,5.350332252057428,1.9967620011132508,1.956887864209901,0.0,356
2262,16,19,3.9190546738596432,1.9967620011132508,1.956887864209901,0.0,233
8467,53,14,6.092807233362347,1.0,1.956887864209901,0.0,99
39694,44,1,5.546967704705411,1.4142135623730951,2.0,0.0,51
2081,83,10,6.193461725371881,1.4142135623730951,1.956887864209901,0.0,58
3514,74,60,3.8948576694699173,1.0,2.0,0.0,809
199884,78,84,6.91475075973457,1.0,1.956887864209901,0.0,895
19914,136,12,6.995321387539302,1.4142135623730951,1.956887864209901,0.0,15
1727,31,14,4.42923808075387,1.4142135623730951,2.0,0.0,4
3877,59,100,5.446772844162392,1.4142135623730951,2.0,0.0,99
5220,22,64,3.994361072187505,1.0,1.956887864209901,0.0,1010
174727,38,45,5.036236270076144,1.3828992025720797,1.956887864209901,0.0,546
4088,91,22,4.972782537525353,1.3828992025720797,1.956887864209901,0.0,752
488,17,15,3.2595620062665707,1.4142135623730951,2.5968491788439394,0.0,34
4505,45,55,5.7955799925032805,1.4142135623730951,1.956887864209901,0.0,1301
9469,56,18,5.862856387830046,1.0,2.5968491788439394,0.0,48
5881,36,13,4.506644453094918,1.9967620011132508,1.956887864209901,0.0,20
21112,13,66,3.046238319119492,1.0,1.7320508075688772,0.0,214
6074,48,13,5.272882407845857,1.9967620011132508,1.956887864209901,0.0,58
5900,79,53,7.566474626204803,1.0,2.5968491788439394,0.0,46
15011,25,18,3.9178781850669058,1.0,2.0,0.0,11
4295,144,0,8.91859763348095,1.0,1.956887864209901,0.0,188
26930,52,19,6.330841933517965,1.0,2.5968491788439394,0.0,58
8766,38,14,5.634513433410957,1.0,1.956887864209901,0.0,42
12242,49,49,5.6474347591498,1.0,1.7320508075688772,1.0,61
2773,24,84,3.8424786083371103,1.9967620011132508,1.956887864209901,0.0,1619
324,72,38,7.091709739033618,1.4142135623730951,1.956887864209901,0.0,21
10189,52,18,6.5193894864547115,1.0,2.0,0.0,51
5368,34,45,5.030357442874887,1.9967620011132508,2.5968491788439394,0.0,2107
82996,53,16,6.143071810654295,1.9967620011132508,1.956887864209901,0.0,86
7389,44,37,3.9256279063952366,1.0,1.956887864209901,0.0,1126
6175,50,34,5.854126563165385,1.0,1.956887864209901,0.0,897
52298,24,1,4.354012259276605,1.0,2.0,0.0,77
56606,176,3,6.372426531928852,1.0,2.0,0.0,31
8619,85,18,6.860119441227818,1.0,1.956887864209901,0.0,1423
12817,17,3,3.3514501515442374,1.0,1.956887864209901,0.0,13
7073,45,4,5.532945468668334,1.0,1.956887864209901,0.0,109
12660,24,99,4.379518526440165,1.0,2.5968491788439394,0.0,34
54990,8,45,2.7080515168852344,1.0,1.0,0.0,169
195,9,55,2.613905464300105,1.4142135623730951,2.5968491788439394,0.0,13
6140,13,3,2.661451874917715,1.9967620011132508,2.5968491788439394,0.0,91
7577,67,13,7.150620678940226,1.0,1.956887864209901,0.0,6
104969,12,11,2.9166666575803872,1.0,1.956887864209901,0.0,223
186222,59,20,6.011784529915275,1.0,2.5968491788439394,0.0,183
2624,82,43,5.543880920646307,1.4142135623730951,1.956887864209901,0.0,33
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
8291,57,53,6.642876727929484,1.0,2.5968491788439394,0.0,827
21340,19,47,2.9890588790759653,1.9967620011132508,1.956887864209901,0.0,19
6325,82,0,5.409984631089355,1.9967620011132508,2.5968491788439394,0.0,392
2965,114,1,8.368839154438927,1.4142135623730951,2.5968491788439394,0.0,26
1941,50,14,5.569065787952528,1.3828992025720797,1.956887864209901,0.0,21
443,7,47,2.291765335143104,1.3828992025720797,1.956887864209901,0.0,18
674,33,2,4.553032150385131,1.9967620011132508,2.5968491788439394,0.0,0
56054,38,16,5.192331975869453,1.0,2.5968491788439394,0.0,534
1412,45,44,5.60278673350768,1.9967620011132508,2.5968491788439394,0.0,284
9888,166,4,7.756940286965705,1.0,1.956887864209901,0.0,849
6406,26,50,4.170579245866327,1.0,2.5968491788439394,0.0,614
4367,29,70,4.1087570421797315,1.3828992025720797,2.5968491788439394,0.0,766
34069,20,0,3.632643807076546,1.3828992025720797,2.0,0.0,5
192581,37,12,4.687987619923552,1.0,2.5968491788439394,0.0,631
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
3181,43,63,5.418954046432974,1.9967620011132508,1.956887864209901,0.0,78
5132,113,2,6.5331583596793354,1.0,2.5968491788439394,1.0,3
95905,70,35,5.566505703210376,1.0,2.5968491788439394,0.0,258
8816,18,44,3.8437766453567193,1.0,2.5968491788439394,0.0,255
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
9679,80,13,7.258310126728741,1.0,2.5968491788439394,0.0,59
2254,59,180,6.1914025359402185,1.0,1.0,0.0,49
11195,21,3,4.125654600444639,1.9967620011132508,2.5968491788439394,0.0,5
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
297,6,73,2.1798450816933164,1.0,2.5968491788439394,0.0,2
38652,116,3,5.414810950592078,1.9967620011132508,2.5968491788439394,0.0,216
2541,28,19,4.6417943704687135,1.0,2.5968491788439394,0.0,84
7694,36,19,5.206251737477849,1.0,1.956887864209901,0.0,654
1101,17,15,3.7169826316149193,1.9967620011132508,2.5968491788439394,0.0,31
2618,34,70,4.408816280500908,1.4142135623730951,2.5968491788439394,0.0,77
1091,86,49,7.247504403283042,1.0,2.5968491788439394,0.0,1110
1185,33,39,4.703915737535549,1.3828992025720797,1.956887864209901,0.0,525
7477,104,0,7.663291039370794,1.4142135623730951,2.5968491788439394,0.0,30
11686,38,58,4.955888692741838,1.4142135623730951,2.5968491788439394,0.0,51
80324,56,13,6.08836494513513,1.0,1.956887864209901,0.0,550
25921,53,36,6.267061115979862,1.0,1.0,0.0,296
4051,25,57,4.603571480647236,1.3828992025720797,1.956887864209901,0.0,229
15023,41,2,4.703304714745835,1.0,2.5968491788439394,0.0,4
4013,53,47,4.703225142572823,1.0,2.5968491788439394,0.0,1143
7559,72,97,6.6450977780103795,1.4142135623730951,2.5968491788439394,0.0,106
1987,22,14,3.5226138131282747,1.3828992025720797,1.956887864209901,0.0,50
178747,59,23,6.547560145575791,1.9967620011132508,2.0,0.0,9
721,111,45,7.170451990598227,1.9967620011132508,2.0,0.0,7
21887,130,8,6.9686077063199825,1.9967620011132508,2.0,1.0,62
166027,74,82,7.567256807720519,1.0,2.5968491788439394,1.0,1006
1478,13,42,3.241668332267843,1.0,2.5968491788439394,0.0,228
114410,49,14,6.408784771102051,1.0,2.5968491788439394,0.0,102
