,Keywords,Keyword_Count,Ratings,Rating_Count,ContentWarning,ContentWarning_Count,RomanticCategory,RomanticCategory_Count
1374,Shipping,1,,,,,,
1375,Buck is a lucky bastard,1,,,,,,
1376,No Covid,1,,,,,,
1377,Holiday in paradise,1,,,,,,
1378,For the most part,1,,,,,,
1379,expensive trips that will make you go ooooh,1,,,,,,
1380,bisexual!Buck,1,,,,,,
1381,eventual established relationship,1,,,,,,
1382,Soft Eddie Diaz (9-1-1 TV),1,,,,,,
1383,bisexual!Eddie,1,,,,,,
1384,Tropical setting,1,,,,,,
1385,Eddie Diaz is Bad at Feelings (9-1-1 TV),1,,,,,,
1386,Post 4x14,1,,,,,,
1387,eddie diaz - Freeform,1,,,,,,
1388,did I mention there were dragons,1,,,,,,
1389,everyone else knows but them,1,,,,,,
1390,Jellal has PTSD but doesn't talk about it,1,,,,,,
1391,Omega Jellal,1,,,,,,
1392,Alternate Universe - No Powers,1,,,,,,
1393,protective Alex,1,,,,,,
1394,Morgan is just a guy,1,,,,,,
1395,Alternate Universe - Post-Apocalypse,1,,,,,,
1396,S tier/D tier - Freeform,1,,,,,,
1397,Alex | S tier/Morgan | D Tier - Freeform,1,,,,,,
1398,No beta we die like Chad,1,,,,,,
1399,hostage negotiations,1,,,,,,
1400,Falling in Love at the End of the World,1,,,,,,
1401,Non-Sexual Intimacy,1,,,,,,
1402,I dont edit this stuff,1,,,,,,
1403,Rebuilding,1,,,,,,
1404,Past Sexual Assault,1,,,,,,
1405,Implied/Referenced Sexual Assault,1,,,,,,
1406,Stand Alone,1,,,,,,
1407,Married Huā Chéng/Xiè Lián (Tiān Guān Cì Fú),1,,,,,,
1408,Top Lán Zhàn | Lán Wàngjī/Bottom Wèi Yīng | Wèi Wúxiàn,1,,,,,,
1409,Suicide,1,,,,,,
1410,Minor Huā Chéng/Xiè Lián,1,,,,,,
1411,Everyone Has Issues,1,,,,,,
1412,Alternate Universe - Zombie Apocalypse,1,,,,,,
1413,villains in love,1,,,,,,
1414,Simp Alex | S Tier,1,,,,,,
1415,Apha Erik,1,,,,,,
1416,its bad,1,,,,,,
1417,Rape Recovery,1,,,,,,
1418,trigger warning,1,,,,,,
1419,Some AUs,1,,,,,,
1420,More cat,1,,,,,,
1421,Kuroo is such a tease,1,,,,,,
1422,angsty,1,,,,,,
1423,Blushing,1,,,,,,
1424,both for like two seconds,1,,,,,,
1425,Concussions,1,,,,,,
1426,Hazing,1,,,,,,
1427,Implied/Referenced Drug Addiction,1,,,,,,
1428,Junior Hockey,1,,,,,,
1429,Alternate Universe - Psychics/Psionics,1,,,,,,
1430,2012-2013 NHL Lockout,1,,,,,,
1431,morgan tortures their brother,1,,,,,,
1432,its just stream of conciseness,1,,,,,,
1433,Nonbinary Morgan | D Tier,1,,,,,,
1434,like really bad,1,,,,,,
1435,Gender Fluid Alex,1,,,,,,
1436,Parenthood,1,,,,,,
1437,Established Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,1,,,,,,
1438,Protective Lán Zhàn | Lán Wàngjī,1,,,,,,
1439,Post-Time Skip,1,,,,,,
1440,Alien Biology,1,,,,,,
1441,Long-term Care,1,,,,,,
1442,Post-Star Trek: Into Darkness,1,,,,,,
1443,Custody Battle,1,,,,,,
1444,Triumvirate,1,,,,,,
1445,The Vulcan Accords,1,,,,,,
1446,Vulcan Culture,1,,,,,,
1447,Unstable Bonds,1,,,,,,
1448,Alien Culture,1,,,,,,
1449,Rehabilitation,1,,,,,,
1450,Mental Instability,1,,,,,,
1451,Crew as Family,1,,,,,,
1452,Assault,1,,,,,,
1453,Fanart,1,,,,,,
1454,Medicinal Drug Use,1,,,,,,
1455,Vulcan Healers - Freeform,1,,,,,,
1456,Non-Consensual Drug Use,1,,,,,,
1457,free form,1,,,,,,
1458,Bonds,1,,,,,,
1459,Mind melds,1,,,,,,
1460,Alien/Human Relationships,1,,,,,,
1461,Drug withdrawl,1,,,,,,
1462,i SAID bi atsumu rights,1,,,,,,
1463,(yearning increases),1,,,,,,
1464,Introspective Miya Atsumu,1,,,,,,
1465,i couldn't resist clowning ushiwaka again im sorry,1,,,,,,
1466,multiple references to Mitski,1,,,,,,
1467,Pro Volleyball Player Miya Atsumu,1,,,,,,
1468,take a shot every time i refer to kita's hands as steady,1,,,,,,
1469,he's trying!,1,,,,,,
1470,Insecure Miya Atsumu,1,,,,,,
1471,gratuitous explanations of sustainable agriculture,1,,,,,,
1472,Divorce,1,,,,,,
1473,but spoiler: hand fixation,1,,,,,,
1474,minor character injury,1,,,,,,
1475,Pining Miya Atsumu,1,,,,,,
1476,allusions to Greta Thunberg,1,,,,,,
1477,yes atsumu is reading the lorax,1,,,,,,
1478,this will get spicy later,1,,,,,,
1479,Endangered Alien Species,1,,,,,,
1480,Post Into Darkness Themes,1,,,,,,
1481,Fluffy Smut,1,,,,,,
1482,Drawing,1,,,,,,
1483,Implied pinning tsukki,1,,,,,,
1484,Major city destruction,1,,,,,,
1485,Loss of Control,1,,,,,,
1486,The Connections,1,,,,,,
1487,No sexist bloodline jokes,1,,,,,,
1488,Body Horror,1,,,,,,
1489,Leon and Chris fighting,1,,,,,,
1490,Loss of Identity,1,,,,,,
1491,Existential Crisis,1,,,,,,
1492,Psychological Horror,1,,,,,,
1493,Internal Conflict,1,,,,,,
1494,Intrigue,1,,,,,,
1495,Suspension Of Disbelief,1,,,,,,
1496,Tricell,1,,,,,,
1497,Crying,1,,,,,,
1498,Fast Cars,1,,,,,,
1499,Alternate Timelines,1,,,,,,
1500,I Made Myself Cry,1,,,,,,
1501,Resident Evil 6 Spoilers,1,,,,,,
1502,Parent-Child Relationship,1,,,,,,
1503,lore heavy,1,,,,,,
1504,NFWMB Vibes,1,,,,,,
1505,Military Jargon,1,,,,,,
1506,Older Characters,1,,,,,,
1507,Jill has a lot to cry about,1,,,,,,
1508,Resident Evil 7 Spoilers,1,,,,,,
1509,WLW Romance,1,,,,,,
1510,AO3 Tags - Freeform,1,,,,,,
1511,Post-Resident Evil 6,1,,,,,,
1512,growing up with homophobia,1,,,,,,
1513,Disease,1,,,,,,
1514,Stressed smoking,1,,,,,,
1515,International,1,,,,,,
1516,Romantic Gestures,1,,,,,,
1517,geo-politics,1,,,,,,
1518,terrorist attacks,1,,,,,,
1519,Jill Valentine Needs a Hug,1,,,,,,
1520,Bio Organic Weapons | B.O.W.s,1,,,,,,
1521,Lesbian Panic,1,,,,,,
1522,Watching Someone Sleep,1,,,,,,
1523,Slow Burn Romance,1,,,,,,
1524,she drives,1,,,,,,
1525,Healing America,1,,,,,,
1526,Female Friendship,1,,,,,,
1527,Lots of Crying,1,,,,,,
1528,KageHina - Freeform,1,,,,,,
1529,jackednotstacked,1,,,,,,
1530,Hanahaki Disease,1,,,,,,
1531,Top! Tadashi,1,,,,,,
1532,Alternate Universe - Bar/Pub,1,,,,,,
1533,Reference to Rape,1,,,,,,
1534,a mix of fluff and angst,1,,,,,,
1535,Bottom! Tsukki,1,,,,,,
1536,Neglect,1,,,,,,
1537,Pinning!Tadashi,1,,,,,,
1538,Kageyama has too many cats,1,,,,,,
1539,Tsukki and Noya,1,,,,,,
1540,sad kageyama,1,,,,,,
1541,Eating Disorder,1,,,,,,
1542,mild fear of dogs,1,,,,,,
1543,flower disease,1,,,,,,
1544,Flower Language,1,,,,,,
1545,(Kinda) Crack,1,,,,,,
1546,Rape Aftermath,1,,,,,,
1547,Animal Shelter AU,1,,,,,,
1548,Embarrassed Tsukki,1,,,,,,
1549,Cats,1,,,,,,
1550,Some of these chapters are long oops,1,,,,,,
1551,OT4,1,,,,,,
1552,Blutara - Freeform,1,,,,,,
1553,Da feels,1,,,,,,
1554,Jill Valentine has PTSD,1,,,,,,
1555,Umbrella Corporation,1,,,,,,
1556,Tragic Romance,1,,,,,,
1557,Snippets,1,,,,,,
1558,old zutara,1,,,,,,
1559,Katara being badass,1,,,,,,
1560,Wedding Day,1,,,,,,
1561,Zutara Week,1,,,,,,
1562,Painting,1,,,,,,
1563,Shirtless Zuko,1,,,,,,
1564,Oneshot Series,1,,,,,,
1565,One-Shots,1,,,,,,
1566,Stranded AU,1,,,,,,
1567,Selectively Mute Character,1,,,,,,
1568,Alternate Universe - Future,1,,,,,,
1569,caught kissing,1,,,,,,
1570,okay now there's smut,1,,,,,,
1571,Identity Reveal,1,,,,,,
1572,Crime Fighting,1,,,,,,
1573,Background Matt/Keith,1,,,,,,
1574,Harry is 19,1,,,,,,
1575,Palace or kingdom,1,,,,,,
1576,Virgin Louis Tomlinson,1,,,,,,
1577,louis is 21,1,,,,,,
1578,Police Officer Min Yoongi | Suga,1,,,,,,
1579,Human Trafficking,1,,,,,,
1580,Police Officer Jeon Jungkook,1,,,,,,
1581,Police Officer Kim Namjoon | RM,1,,,,,,
1582,Artist Kim Taehyung | V,1,,,,,,
1583,Underage Rape/Non-con,1,,,,,,
1584,Cat Hybrid Park Jimin (BTS),1,,,,,,
1585,Doctor Kim Seokjin | Jin,1,,,,,,
1586,Sad with a Happy Ending,1,,,,,,
1587,Police Officer Jung Hoseok | J-Hope,1,,,,,,
1588,Past Sexual Abuse,1,,,,,,
1589,Wolf Hybrid Jung Hoseok | J-Hope,1,,,,,,
1590,Jeon Jungkook & Park Jimin are Best Friends,1,,,,,,
1591,Wolf Hybrid Kim Seokjin | Jin,1,,,,,,
1592,still unsure of side ships,1,,,,,,
1593,Singer Park Jimin (BTS),1,,,,,,
1594,Virgin Harry Styles,1,,,,,,
1595,Older Louis Tomlinson,1,,,,,,
1596,Engagement,1,,,,,,
1597,not btwn jikook tho,1,,,,,,
1598,King Park Jimin (BTS),1,,,,,,
1599,Soft sex,1,,,,,,
1600,Sexual Harassment,1,,,,,,
1601,Military General Jeon Jungkook,1,,,,,,
1602,Jeon Jungkook & Park Jimin are Childhood Friends,1,,,,,,
1603,Beta Nick Grimshaw,1,,,,,,
1604,Insecure Nick,1,,,,,,
1605,Polyamory Negotiations,1,,,,,,
1606,Underage Drug Use,1,,,,,,
1607,Underage Smoking,1,,,,,,
1608,Full Shift Werewolves,1,,,,,,
1609,Full Moon,1,,,,,,
1610,Minor Kirishima Eijirou/Todoroki Shouto,1,,,,,,
1611,Childhood Memories,1,,,,,,
1612,but its hot you like it,1,,,,,,
1613,jimin does cheat,1,,,,,,
1614,kind of?,1,,,,,,
1615,Producer Woo Do Hwan,1,,,,,,
1616,read and youll get it,1,,,,,,
1617,Genderfluid Park Jimin (BTS),1,,,,,,
1618,mentions of mental health,1,,,,,,
1619,Rapper Kim Namjoon | RM,1,,,,,,
1620,Singer Jeon Jungkook,1,,,,,,
1621,Top Midoriya Izuku,1,,,,,,
1622,Alpha Midoriya Izuku,1,,,,,,
1623,No Lube,1,,,,,,
1624,Omega Victor Nikiforov,1,,,,,,
1625,Alternate Universe - Regency,1,,,,,,
1626,and soon mooooore,1,,,,,,
1627,dramatic irony is my brand now i guess,1,,,,,,
1628,Intersex Omegas,1,,,,,,
1629,pfft more like co-conspirators to lovers,1,,,,,,
1630,serious pining,1,,,,,,
1631,Pining Harry Styles,1,,,,,,
1632,eventually,1,,,,,,
1633,Touch-Starved,1,,,,,,
1634,newly-presented omega,1,,,,,,
1635,Touch Deprivation,1,,,,,,
1636,Alternate Universe - Dystopia,1,,,,,,
1637,Mentions of Niall Liam and Zayn - Freeform,1,,,,,,
1638,Half Demon Park Jimin,1,,,,,,
1639,possible switch jikook,1,,,,,,
1640,Bottom Bakugou Katsuki,1,,,,,,
1641,jk LOTS of plot actually,1,,,,,,
1642,you are in for a treat,1,,,,,,
1643,Side yoonminseok & namjin,1,,,,,,
1644,Rapper Min Yoongi | Suga,1,,,,,,
1645,Wolf Hybrid Kim Taehyung | V,1,,,,,,
1646,both somewhat bad at feelings,1,,,,,,
1647,Kitchen Sex,1,,,,,,
1648,CEO Kim Taehyung | V,1,,,,,,
1649,Model Jeon Jungkook,1,,,,,,
1650,like so much sexual tension,1,,,,,,
1651,taekook are unware that they are basically a married couple,1,,,,,,
1652,heat care,1,,,,,,
1653,Alternate Universe - Gang World,1,,,,,,
1654,Jeon Jungkook Wears a Skirt,1,,,,,,
1655,Bottom Cas/Top Dean,1,,,,,,
1656,Age Swap,1,,,,,,
1657,Minor Chou Tzuyu/Son Chaeyoung,1,,,,,,
1658,Hurt Louis Tomlinson,1,,,,,,
1659,Step-siblings,1,,,,,,
1660,this is very serious,1,,,,,,
1661,oh and,1,,,,,,
1662,We got both traditional and non traditional,1,,,,,,
1663,BAMF Jungkook,1,,,,,,
1664,Requited Unrequited Love,1,,,,,,
1665,John Winchester's A+ Parenting,1,,,,,,
1666,Roommates and mates lmao,1,,,,,,
1667,This is just really cute and fluffy and happy :),1,,,,,,
1668,Jungkook just loves Tae a lot and Tae is a whipped fool as well,1,,,,,,
1669,Meet-Cute,1,,,,,,
1670,Jeon Jungkook & Kim Taehyung | V are Roommates,1,,,,,,
1671,Soft Jeon Jungkook,1,,,,,,
1672,Dean Winchester Has a Sexuality Crisis,1,,,,,,
1673,First Time Bottom Dean Winchester,1,,,,,,
1674,Dean Winchester Realizes Feelings For Castiel,1,,,,,,
1675,Shameless Castiel (Supernatural),1,,,,,,
1676,Top Castiel/Bottom Dean Winchester,1,,,,,,
1677,Doctor Castiel,1,,,,,,
1678,Awkward Dean Winchester,1,,,,,,
1679,Alternate Universe- No Supernatural,1,,,,,,
1680,Castiel Loves Dean Winchester,1,,,,,,
1681,Domestic Bliss,1,,,,,,
1682,Bottom Castiel/Top Dean Winchester,1,,,,,,
1683,Writer Dean Winchester,1,,,,,,
1684,Some Plot,1,,,,,,
1685,Mates,1,,,,,,
1686,Baking,1,,,,,,
1687,Lingerie,1,,,,,,
1688,No Angst,1,,,,,,
1689,Alpha Shinsou Hitoshi,1,,,,,,
1690,Piercings,1,,,,,,
1691,Hurt Midoriya Izuku,1,,,,,,
1692,violent behaviour,1,,,,,,
1693,Gun Kink,1,,,,,,
1694,Awkward Sexual Situations,1,,,,,,
1695,This is just super fluffy smut and taegi being in love,1,,,,,,
1696,Public Sex,1,,,,,,
1697,Horniness,1,,,,,,
1698,Desperation,1,,,,,,
1699,Horny Kim Taehyung | V,1,,,,,,
1700,How can one not be soft for taegi,1,,,,,,
1701,Sassy Min Yoongi | Suga,1,,,,,,
1702,I'm just so whipped for this fic it's probably been my favorite one to write,1,,,,,,
1703,Kim Taehyung | V Has a Big Dick,1,,,,,,
1704,Sexual Humor,1,,,,,,
1705,Exhibitionism,1,,,,,,
1706,Bottom Min Yoongi | Suga,1,,,,,,
1707,Interspecies Sex,1,,,,,,
1708,Emotional Sex,1,,,,,,
1709,Sexual Assault,1,,,,,,
1710,Shifter Castiel,1,,,,,,
1711,Alpha Tony Stark,1,,,,,,
1712,Alternate History,1,,,,,,
1713,Historical Dress,1,,,,,,
1714,Mail Order Brides,1,,,,,,
1715,Elevator Sex,1,,,,,,
1716,Trapped In Elevator,1,,,,,,
1717,Plus-Size Reader,1,,,,,,
1718,Pet Names,1,,,,,,
1719,Pack Cuddles,1,,,,,,
1720,Clumsiness,1,,,,,,
1721,Meet-Ugly,1,,,,,,
1722,fushigi yuugi au,1,,,,,,
1723,it's sad but it gets better,1,,,,,,
1724,Friends With Benefits Jeon Jungkook/Kim Taehyung | V,1,,,,,,
1725,Beta Kim Taehyung | V,1,,,,,,
1726,Kim Taehyung | V/Park Hyunsik - Freeform,1,,,,,,
1727,but they are oblivious idiots,1,,,,,,
1728,i tagged this bc they are intoxicated but they are technically consenting,1,,,,,,
1729,Trans Park Jimin (BTS),1,,,,,,
1730,Vigilante Midoriya Izuku,1,,,,,,
1731,Omega Bakugou Katsuki,1,,,,,,
1732,the original characters are villains,1,,,,,,
1733,Panther Castiel,1,,,,,,
1734,its frowned upon for human/shifter relationships,1,,,,,,
1735,Protective Dean Winchester,1,,,,,,
1736,Gang War,1,,,,,,
1737,lots of swearing,1,,,,,,
1738,Human Dean Winchester,1,,,,,,
1739,Gangs,1,,,,,,
1740,Bad Parent John Winchester,1,,,,,,
1741,Possessive Castiel (Supernatural),1,,,,,,
1742,Submissive Dean Winchester,1,,,,,,
1743,characters will age up,1,,,,,,
1744,Alpha Kink,1,,,,,,
1745,Cas has cat eyes,1,,,,,,
1746,Criminal Activities,1,,,,,,
1747,Rut Sex,1,,,,,,
1748,Art in chapter,1,,,,,,
1749,Crying During Sex,1,,,,,,
1750,Pocket Dimensions - Freeform,1,,,,,,
1751,allah im sorry,1,,,,,,
1752,Jeon Jungkook is a Hacker,1,,,,,,
1753,Park Jimin is a Hitman/Assassin,1,,,,,,
1754,Will Add More Later,1,,,,,,
1755,Dabi is Todoroki Touya,1,,,,,,
1756,Angel Castiel (Supernatural),1,,,,,,
1757,Wing Oil,1,,,,,,
1758,Claiming Bites,1,,,,,,
1759,Hunter Dean Winchester,1,,,,,,
1760,Mysterious Antagonist,1,,,,,,
1761,Travelling pack,1,,,,,,
1762,smut MAYBE,1,,,,,,
1763,legend,1,,,,,,
1764,Hatred,1,,,,,,
1765,more tags will be added as plot progresses,1,,,,,,
1766,eventual understanding,1,,,,,,
1767,Hunted Down,1,,,,,,
1768,Humans vs. Werewolves,1,,,,,,
1769,All in Hiding,1,,,,,,
1770,Quirks,1,,,,,,
1771,romantic suspense,1,,,,,,
1772,Romantic Tension,1,,,,,,
1773,Dabi is a Todoroki,1,,,,,,
1774,Complicated Relationships,1,,,,,,
1775,Kim Namjoon | RM is So Done,1,,,,,,
1776,Park Jimin (BTS) is a Little Shit,1,,,,,,
1777,im sorry for the plethora of tags,1,,,,,,
1778,Blind Character,1,,,,,,
1779,izuku is tiny,1,,,,,,
1780,kirishima is all might sized,1,,,,,,
1781,Kirishima Eijirou is a Good Friend,1,,,,,,
1782,Sad Bakugou Katsuki,1,,,,,,
1783,Soft Bakugou Katsuki,1,,,,,,
1784,Characters Are Pro Heroes (My Hero Academia),1,,,,,,
1785,Lust at First Sight,1,,,,,,
1786,Ableist Language,1,,,,,,
1787,(the last 5 tags don't apply to KM),1,,,,,,
1788,they're supposed to hate each other but they find each other hot,1,,,,,,
1789,tbh this gets real soft real quick sorry not sorry,1,,,,,,
1790,soft but sexy,1,,,,,,
1791,belly bulge,1,,,,,,
1792,5 minute enemies,1,,,,,,
1793,IT JUST GETS FLUFFY QUICK IM NOT SORRY,1,,,,,,
1794,awkward pining???,1,,,,,,
1795,namseok if you squint - Freeform,1,,,,,,
1796,Happily Ever After,1,,,,,,
1797,Alternate Universe - Vikings,1,,,,,,
1798,Harry Styles & Louis Tomlinson are Childhood Friends,1,,,,,,
1799,Maid Cafe,1,,,,,,
1800,Park Jimin (BTS) is Bad At Feelings,1,,,,,,
1801,Protective Victor Nikiforov,1,,,,,,
1802,Pup Yuri,1,,,,,,
1803,Papa Victor,1,,,,,,
1804,Podium Family,1,,,,,,
1805,Omega Yuri Plisetsky,1,,,,,,
1806,Katsuki Yuuri and Victor Nikiforov are Yuri Plisetsky's Parents,1,,,,,,
1807,Otabek Altin & Yuri Plisetsky Are Best Friends,1,,,,,,
1808,family au,1,,,,,,
1809,Character's Name Spelled as Viktor,1,,,,,,
1810,Family Dynamics,1,,,,,,
1811,Alpha Otabek Altin,1,,,,,,
1812,Otabek has two moms,1,,,,,,
1813,Established Katsuki Yuuri/Victor Nikiforov,1,,,,,,
1814,Married Katsuki Yuuri/Victor Nikiforov,1,,,,,,
1815,aka bwb (bath what bath),1,,,,,,
1816,louis cant stand the overpowering scent of Harry,1,,,,,,
1817,Superpowers,1,,,,,,
1818,Healthy Relationships,1,,,,,,
1819,Hero/Villain,1,,,,,,
1820,Eventual Otabek Altin/Yuri Plisetsky,1,,,,,,
1821,mama yuuri,1,,,,,,
1822,Protective Katsuki Yuuri,1,,,,,,
1823,Alpha Ashido Mina,1,,,,,,
1824,Friends With Benefits Min Yoongi | Suga/Park Jimin,1,,,,,,
1825,but hes like a power bottom muahaha,1,,,,,,
1826,hes better than Jimin at least,1,,,,,,
1827,warning tags are not directed at the main couple,1,,,,,,
1828,Jeon Jungkook is Good at Feelings,1,,,,,,
1829,Omega Kirishima Eijirou,1,,,,,,
1830,Beta Midoriya Izuku,1,,,,,,
1831,Gyms,1,,,,,,
1832,Gym Sex,1,,,,,,
1833,Bartender Park Jimin (BTS),1,,,,,,
1834,intersex female alpha,1,,,,,,
1835,Oblivious Dean Winchester,1,,,,,,
1836,Alternate Universe – Neighbors,1,,,,,,
1837,Omega Castiel (Supernatural),1,,,,,,
1838,Omega Dean Winchester,1,,,,,,
1839,Bouncer Jeon Jungkook,1,,,,,,
1840,Soulmate-Identifying Marks,1,,,,,,
1841,Co-workers,1,,,,,,
1842,denki is tiny,1,,,,,,
1843,Jealous Bakugou Katsuki,1,,,,,,
1844,Power Bottom Park Jimin (BTS),1,,,,,,
1845,Park Jimin Is a Sweetheart,1,,,,,,
1846,Beta/Beta,1,,,,,,
1847,Family Fluff,1,,,,,,
1848,Domestic Jeon Jungkook/Kim Taehyung | V,1,,,,,,
1849,Scheming,1,,,,,,
1850,Jimin is intense,1,,,,,,
1851,Suicide Attempt I guess,1,,,,,,
1852,Jungkook has a pet dragon,1,,,,,,
1853,There's so much slick,1,,,,,,
1854,Spiritual Powers,1,,,,,,
1855,Royalty,1,,,,,,
1856,Ancient Times,1,,,,,,
1857,Mentioned Kim Taehyung | V,1,,,,,,
1858,Mentioned Kim Namjoon | RM,1,,,,,,
1859,Jeon Jungkook-Centric,1,,,,,,
1860,Scents & Smells,1,,,,,,
1861,Alpha Lee Taemin,1,,,,,,
1862,Past Lee Taemin/Park Jimin (BTS),1,,,,,,
1863,Jeon Jungkook is Older Than Park Jimin,1,,,,,,
1864,Drunk Park Jimin (BTS),1,,,,,,
1865,Jeonlous,1,,,,,,
1866,Cuddles,1,,,,,,
1867,Sope - background,1,,,,,,
1868,Protective Kim Seokjin | Jin,1,,,,,,
1869,Bad Boy Jeon Jungkook,1,,,,,,
1870,Jikook ABO Fest,1,,,,,,
1871,not in a sexual way - Freeform,1,,,,,,
1872,Park Jimin is a Ray of Sunshine (BTS),1,,,,,,
1873,no idea what’s going on really,1,,,,,,
1874,Beta Park Jimin (BTS),1,,,,,,
1875,(kind of??),1,,,,,,
1876,Protective Min Yoongi | Suga,1,,,,,,
1877,Protective Kim Namjoon | RM,1,,,,,,
1878,first fic ever,1,,,,,,
1879,Namjin - Background,1,,,,,,
1880,Oblivious Min Yoongi | Suga,1,,,,,,
1881,Alternate Universe - Bangtan Boys | BTS A/B/O,1,,,,,,
1882,sorry if it’s bad!!,1,,,,,,
1883,Omega Lee Taemin,1,,,,,,
1884,Soft Kim Taehyung | V,1,,,,,,
1885,haven’t planned it out so just going with the flow lol,1,,,,,,
1886,Oblivious Jung Hoseok | J-Hope,1,,,,,,
1887,alternative universe,1,,,,,,
1888,Minor Jeon Jungkook/Original Character(s),1,,,,,,
1889,katsuki is all might sized,1,,,,,,
1890,little angst,1,,,,,,
1891,Korean-American Character,1,,,,,,
1892,just kissing,1,,,,,,
1893,Alternate Universe - America,1,,,,,,
1894,Jung Hoseok | J-Hope & Kim Namjoon | RM are Best Friends,1,,,,,,
1895,Bets & Wagers,1,,,,,,
1896,Foreplay,1,,,,,,
1897,Yoonmin cuz yoonmin,1,,,,,,
1898,Namjin for clear skin,1,,,,,,
1899,Human Kim Taehyung | V,1,,,,,,
1900,Jikook being obvious,1,,,,,,
1901,Lil' angst and a ton of fluff,1,,,,,,
1902,betas are not boring in this fic,1,,,,,,
1903,both are bad at feelings,1,,,,,,
1904,But Like Idiots to Lovers,1,,,,,,
1905,will add more tags with second chapter if needed,1,,,,,,
1906,Strength Kink,1,,,,,,
1907,Roughness,1,,,,,,
1908,Abuse of Authority,1,,,,,,
1909,Secretary Park Jimin (BTS),1,,,,,,
1910,Comedy,1,,,,,,
1911,taehyung has a lot of growing to do,1,,,,,,
1912,Character Growth,1,,,,,,
1913,from both parties,1,,,,,,
1914,Drunk Jeon Jungkook,1,,,,,,
1915,Kim Seokjin | Jin & Park Jimin are Siblings,1,,,,,,
1916,Drunk Jimin,1,,,,,,
1917,and a tiny bit of angst,1,,,,,,
1918,All Types of Fluff,1,,,,,,
1919,and they were ROOMMATES,1,,,,,,
1920,Cute Jungkook,1,,,,,,
1921,Christmas Fluff,1,,,,,,
1922,Jung Hoseok | J-Hope is a Little Shit,1,,,,,,
1923,brother's best friend cliche,1,,,,,,
1924,Musician Kim Namjoon | RM,1,,,,,,
1925,Thanksgiving,1,,,,,,
1926,Lawyer Min Yoongi | Suga,1,,,,,,
1927,Kim Namjoon | RM & Kim Seokjin | Jin & Kim Taehyung | V are Siblings,1,,,,,,
1928,Established Kim Seokjin | Jin/Min Yoongi | Suga,1,,,,,,
1929,Graduate Student Jung Hoseok | J-Hope,1,,,,,,
1930,Established Jeon Jungkook/Park Jimin,1,,,,,,
1931,Lawyer Kim Seokjin | Jin,1,,,,,,
1932,Sibilings,1,,,,,,
1933,Prostitution,1,,,,,,
1934,Step-Brothers,1,,,,,,
1935,Only af the beginning,1,,,,,,
1936,just a little,1,,,,,,
1937,Draco Malfoy is a Little Shit,1,,,,,,
1938,Italian Blaise Zabini,1,,,,,,
1939,Makeup Sex,1,,,,,,
1940,Good Friend Daphne Greengrass,1,,,,,,
1941,Dark Hermione Granger,1,,,,,,
1942,Dragon Draco Malfoy,1,,,,,,
1943,Good Friend Theodore Nott,1,,,,,,
1944,Cunnilingus,1,,,,,,
1945,Plot Twists,1,,,,,,
1946,Mudblood,1,,,,,,
1947,Pureblood Culture (Harry Potter),1,,,,,,
1948,Draco Malfoy is Not a Death Eater,1,,,,,,
1949,Hermione Granger is a Good Friend,1,,,,,,
1950,LGBTQ Character of Color,1,,,,,,
1951,and tbh I'd say thankyou,1,,,,,,
1952,yes I am,1,,,,,,
1953,Gryffindor & Hufflepuff Inter-House Friendships,1,,,,,,
1954,"Dubious morality as in ""wtf are they even doing""",1,,,,,,
1955,Mental Anguish,1,,,,,,
1956,Obsessive Behavior,1,,,,,,
1957,HPRomione Discord's ROMioneCOM Challenge,1,,,,,,
1958,Implied/Referenced Underage Sex,1,,,,,,
1959,Pretend the timeline makes sense,1,,,,,,
1960,Harry potter got chosen for champion some other day than oct 31,1,,,,,,
1961,uncomfortable situations,1,,,,,,
1962,Crime,1,,,,,,
1963,Child Neglect,1,,,,,,
1964,theyre 14,1,,,,,,
1965,Hahshahaha im tired,1,,,,,,
1966,Seth Merbery <3,1,,,,,,
1967,In the memory,1,,,,,,
1968,Because thats weird,1,,,,,,
1969,Warning ; seth,1,,,,,,
1970,Platonic Relationships,1,,,,,,
1971,Fire Magic,1,,,,,,
1972,light bullying,1,,,,,,
1973,Fire Powers,1,,,,,,
1974,Consent,1,,,,,,
1975,Implied/Referenced Homophobia,1,,,,,,
1976,LGBTQ Female Character,1,,,,,,
1977,Peter Pettigrew is a Marauder,1,,,,,,
1978,character with anxiety,1,,,,,,
1979,mentions of suicide and suicidal thoughts,1,,,,,,
1980,Character with depression,1,,,,,,
1981,POV Hermione Granger,1,,,,,,
1982,Mind Healers (Harry Potter),1,,,,,,
1983,Regret,1,,,,,,
1984,james potter and i are the same,1,,,,,,
1985,by which i mean we are both simps for regulus black,1,,,,,,
1986,Creative License,1,,,,,,
1987,Character based on Sam Claflin,1,,,,,,
1988,Multiple Crossovers,1,,,,,,
1989,Draco Malfoy Has a Twin,1,,,,,,
1990,Forced Marriage,1,,,,,,
1991,The Malfoy's ARE NICE in this,1,,,,,,
1992,Alternate Universe - Kingdom,1,,,,,,
1993,Sam Claflin - Freeform,1,,,,,,
1994,Bellatrix and Tom Riddle have a son called Andrew,1,,,,,,
1995,Queer Remus Lupin,1,,,,,,
1996,mentions of cutting,1,,,,,,
