words,amount_keywords,up_time,keywords_mean,keywords_max,keywords_min,rating_mean,rating_max,rating_min,contentWarning_mean,contentWarning_max,contentWarning_min,romanticCategory_mean,romanticCategory_max,romanticCategory_min,kudos
46818,17,38,-0.00095408387,0.24472284,-0.24951248,0.00012365142,0.008554986,-0.0082680145,3.5446803e-05,0.013284376,-0.011834501,0.00068080006,0.00996485,-0.009883509,365
5077,35,96,-0.0007334125,0.18612075,-0.19382529,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551,1417
45015,77,14,-0.00090228394,0.20571272,-0.21567748,0.00015709833,0.009618826,-0.009603551,0.00018749949,0.010641727,-0.012015251,0.00068080006,0.00996485,-0.009883509,42
18720,39,15,-0.0005213007,0.12654038,-0.13145006,-8.236845e-06,0.009922823,-0.009121787,3.5446803e-05,0.013284376,-0.011834501,0.00068080006,0.00996485,-0.009883509,157
1704,20,43,-0.000545277,0.15487406,-0.16165975,-0.0003773534,0.008177728,-0.009071283,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551,81
4760,43,35,-0.0009863392,0.24577531,-0.25710207,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551,1105
7590,32,51,-0.0007847406,0.1683182,-0.17273292,0.00015709833,0.009618826,-0.009603551,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551,876
4599,47,71,-0.0005568048,0.14590648,-0.15252401,0.00015709833,0.009618826,-0.009603551,3.5446803e-05,0.013284376,-0.011834501,0.00015709833,0.009618826,-0.009603551,175
140747,156,14,-0.00057460065,0.12395882,-0.13019376,-8.236845e-06,0.009922823,-0.009121787,0.00018749949,0.010641727,-0.012015251,-8.236845e-06,0.009922823,-0.009121787,95
2278,6,43,-0.00057475525,0.27410677,-0.27872857,0.00012365142,0.008554986,-0.0082680145,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551,712
4933,108,38,-0.0007437606,0.1929492,-0.20307983,-0.0003773534,0.008177728,-0.009071283,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551,240
2117,18,53,-0.0006773885,0.18853903,-0.19659047,0.00039263593,0.008924776,-0.009150031,0.00046170873,0.009046885,-0.008212944,0.00015709833,0.009618826,-0.009603551,58
13333,64,14,-0.0006452845,0.15209195,-0.15841256,-8.236845e-06,0.009922823,-0.009121787,0.00046170873,0.009046885,-0.008212944,0.00068080006,0.00996485,-0.009883509,38
